V1.00
126
10
PrePopulate

level|~|sequence|~|quantity|~|parent|~|partno|~|unit|~|description|~|revision|~|category|~|source
N|~|N|~|F|~|S|~|S|~|S|~|S|~|S|~|S|~|S
0|~|0|~|0|~|RAW MATERIALS|~|RAW MATERIALS|~|EA|~||~||~||~|
1|~|1|~|1|~|RAW MATERIALS|~|1010|~|SF|~|Plate 1-1/4"Thk., SA-516 GR.70|~||~||~|J
1|~|2|~|1|~|RAW MATERIALS|~|1001|~|SF|~|Plate 3/16"Thk., SA-516 GR.70|~||~||~|J
1|~|3|~|1|~|RAW MATERIALS|~|1008|~|SF|~|Plate 7/8"Thk., SA-516 GR.70|~||~||~|J
1|~|4|~|1|~|RAW MATERIALS|~|1009|~|SF|~|Plate 1"Thk., SA-516 GR.70|~||~||~|J
1|~|5|~|1|~|RAW MATERIALS|~|1011|~|SF|~|Plate 1-1/2"Thk., SA-516 GR.70|~||~||~|J
1|~|6|~|1|~|RAW MATERIALS|~|1002|~|SF|~|Plate 1/4"Thk., SA-516 GR.70|~||~||~|J
1|~|7|~|1|~|RAW MATERIALS|~|1000|~|SF|~|Plate 1/8"Thk., SA-516 GR.70|~||~||~|J
1|~|8|~|1|~|RAW MATERIALS|~|1003|~|SF|~|Plate 5/16"Thk., SA-516 GR.70|~||~||~|J
1|~|9|~|1|~|RAW MATERIALS|~|1004|~|SF|~|Plate 3/8"Thk., SA-516 GR.70|~||~||~|P
1|~|10|~|1|~|RAW MATERIALS|~|1005|~|SF|~|Plate 1/2"Thk., SA-516 GR.70|~||~||~|P
1|~|11|~|1|~|RAW MATERIALS|~|1006|~|SF|~|Plate 5/8"Thk., SA-516 GR.70|~||~||~|P
1|~|12|~|1|~|RAW MATERIALS|~|1007|~|SF|~|Plate 3/4"Thk., SA-516 GR.70|~||~||~|J
1|~|13|~|1|~|RAW MATERIALS|~|1012|~|SF|~|Plate 1-3/4"Thk., SA-516 GR.70|~||~||~|J
1|~|14|~|1|~|RAW MATERIALS|~|1013|~|SF|~|Plate 2"Thk., SA-516 GR.70|~||~||~|J
1|~|15|~|1|~|RAW MATERIALS|~|1014|~|SF|~|Plate 2-1/4"Thk., SA-516 GR.70|~||~||~|J
1|~|16|~|1|~|RAW MATERIALS|~|1015|~|FT|~|1" NPS PIPE, SA53-B|~||~||~|P
1|~|17|~|1|~|RAW MATERIALS|~|1016|~|FT|~|1-1/4" NPS PIPE, SA53-B|~||~||~|J
1|~|18|~|1|~|RAW MATERIALS|~|1017|~|FT|~|1-1/2" NPS PIPE, SA53-B|~||~||~|J
1|~|19|~|1|~|RAW MATERIALS|~|1018|~|FT|~|2" NPS PIPE, SA53-B|~||~||~|J
1|~|20|~|1|~|RAW MATERIALS|~|1019|~|FT|~|2-1/2" NPS PIPE, SA53-B|~||~||~|P
1|~|21|~|1|~|RAW MATERIALS|~|1020|~|FT|~|3" NPS PIPE, SA53-B|~||~||~|P
1|~|22|~|1|~|RAW MATERIALS|~|1021|~|FT|~|3-1/2" NPS PIPE, SA53-B|~||~||~|J
1|~|23|~|1|~|RAW MATERIALS|~|1022|~|FT|~|4" NPS PIPE, SA53-B|~||~||~|P
1|~|24|~|1|~|RAW MATERIALS|~|1023|~|FT|~|4-1/2" NPS PIPE, SA53-B|~||~||~|J
1|~|25|~|1|~|RAW MATERIALS|~|1024|~|FT|~|5" NPS PIPE, SA53-B|~||~||~|P
1|~|26|~|1|~|RAW MATERIALS|~|1025|~|FT|~|6" NPS PIPE, SA53-B|~||~||~|P
1|~|27|~|1|~|RAW MATERIALS|~|1026|~|FT|~|7" NPS PIPE, SA53-B|~||~||~|J
1|~|28|~|1|~|RAW MATERIALS|~|1027|~|FT|~|8" NPS PIPE, SA53-B|~||~||~|P
1|~|29|~|1|~|RAW MATERIALS|~|1028|~|FT|~|10" NPS PIPE, SA53-B|~||~||~|P
1|~|30|~|1|~|RAW MATERIALS|~|1029|~|FT|~|12" NPS PIPE, SA53-B|~||~||~|P
1|~|31|~|1|~|RAW MATERIALS|~|1030|~|FT|~|14" NPS PIPE, SA53-B|~||~||~|J
1|~|32|~|1|~|RAW MATERIALS|~|1031|~|FT|~|16" NPS PIPE, SA53-B|~||~||~|P
1|~|33|~|1|~|RAW MATERIALS|~|1032|~|FT|~|18" NPS PIPE, SA53-B|~||~||~|J
1|~|34|~|1|~|RAW MATERIALS|~|1033|~|FT|~|20" NPS PIPE, SA53-B|~||~||~|P
1|~|35|~|1|~|RAW MATERIALS|~|1034|~|FT|~|24" NPS PIPE, SA53-B|~||~||~|P
1|~|36|~|1|~|RAW MATERIALS|~|1035|~|FT|~|1/2" OD SOLID BAR, SA-36|~||~||~|P
1|~|37|~|1|~|RAW MATERIALS|~|1036|~|FT|~|1" OD SOLID BAR, SA36|~||~||~|P
1|~|38|~|1|~|RAW MATERIALS|~|1037|~|FT|~|1-1/4" SOLID BAR, SA36|~||~||~|J
1|~|39|~|1|~|RAW MATERIALS|~|1038|~|FT|~|1/2"X13 STL THRD ROD, GR B7|~||~||~|P
1|~|40|~|1|~|RAW MATERIALS|~|1039|~|FT|~|1" OD TUBE, SA178-A|~||~||~|P
1|~|41|~|1|~|RAW MATERIALS|~|1040|~|FT|~|1" ID POLYAMIDE CORR TUBE|~||~||~|P
1|~|42|~|1|~|RAW MATERIALS|~|1041|~|FT|~|1-1/2" OD X.095" TUBE, SA178-A|~||~||~|P
1|~|43|~|1|~|RAW MATERIALS|~|1042|~|FT|~|2-1/2" OD X.120" TUBE, SA178-A|~||~||~|P
1|~|44|~|1|~|RAW MATERIALS|~|1043|~|EA|~|2" NPT, STEEL THREADED CAP|~||~||~|P
1|~|45|~|1|~|RAW MATERIALS|~|1044|~|FT|~|1" NPS PIPE, SA106-B|~||~||~|P
